Star ID
R0001925
R0008669
R0008835
R0009274
R0014514
R0021007
R0025771
R0025877
R0000181
R0001469
R0000162
R0000498
R0001367
R0001495
R0001496
R0000006
R0000585
R0001008
R0000017
R0000480
R0003407
R0000930
R0001486
R0001557
R0002585
R0002650
R0003272
R0000071
R0000562
R0000999
R0002138
R0001553
6.08E+18
R0012199
R0001279
R0010546
R0007143
R0003187
R0001882
R0014981
R0007829
R0006960
R0010445
R0012538
R0003000
R0004142
R0001034
R0000116
R0013609
R0013157
R0002128
R0001434
R0004822
R0014567
R0000101
R0000221
R0000300
R0000373
R0000404
R0000446
R0000591
R0000749
R0000919
R0000956
R0001022
R0001197
R0001355
R0001565
R0001582
R0001674
R0001728
R0001736
R0002084
R0002124
R0002213
R0002254
R0002301
R0002408
R0000301
R0000346
R0000417
R0000781
R0001488
R0001623
R0002269
R0000082
R0001319
R0001294
R0001523
R0000548
R0001634
R0010587
R0023666
R0023690
R0001464
R0000943
R0001308
R0000433
R0001221
R0001425
R0000197
R0000880
R0000036
R0000861
R0000100
R0003727
